tour_date,tour_year,tour_month,num_guides,headcount
2019-09-03,2019,9,2,51.0
2019-09-04,2019,9,2,62.0
2019-09-05,2019,9,2,42.0
2019-09-06,2019,9,2,54.0
2019-09-07,2019,9,2,55.0
2019-09-08,2019,9,1,36.0
2019-09-09,2019,9,2,64.0
2019-09-10,2019,9,2,68.0
2019-09-11,2019,9,2,54.0
2019-09-12,2019,9,2,63.0
2019-09-13,2019,9,2,68.0
2019-09-14,2019,9,2,62.0
2019-09-15,2019,9,2,46.0
2019-09-16,2019,9,2,45.0
2019-09-17,2019,9,1,17.0
2019-09-18,2019,9,1,13.0
2019-09-19,2019,9,2,54.0
2019-09-20,2019,9,2,62.0
2019-09-21,2019,9,2,56.0
2019-09-22,2019,9,2,43.0
2019-09-23,2019,9,2,73.0
2019-09-24,2019,9,2,48.0
2019-09-25,2019,9,2,67.0
2019-09-26,2019,9,2,78.0
2019-09-27,2019,9,2,57.0
2019-09-28,2019,9,2,74.0
2019-09-29,2019,9,2,63.0
2019-09-30,2019,9,2,82.0
2019-10-01,2019,10,2,76.0
2019-10-02,2019,10,2,90.0
2019-10-03,2019,10,2,58.0
2019-10-04,2019,10,2,76.0
2019-10-05,2019,10,2,51.0
2019-10-06,2019,10,2,51.0
2019-10-07,2019,10,2,42.0
2019-10-08,2019,10,1,36.0
2019-10-09,2019,10,2,55.0
2019-10-10,2019,10,2,48.0
2019-10-11,2019,10,2,55.0
2019-10-12,2019,10,2,48.0
2019-10-13,2019,10,2,47.0
2019-10-14,2019,10,2,55.0
2019-10-15,2019,10,2,80.0
2019-10-16,2019,10,2,62.0
2019-10-17,2019,10,2,61.0
2019-10-18,2019,10,2,61.0
2019-10-19,2019,10,2,63.0
2019-10-20,2019,10,2,58.0
2019-10-21,2019,10,3,89.0
2019-10-22,2019,10,3,87.0
2019-10-23,2019,10,3,91.0
2019-10-24,2019,10,3,72.0
2019-10-25,2019,10,3,76.0
2019-10-26,2019,10,3,105.0
2019-10-27,2019,10,2,42.0
2019-10-28,2019,10,3,78.0
2019-10-29,2019,10,3,89.0
2019-10-30,2019,10,2,70.0
2019-10-31,2019,10,2,70.0
2019-11-01,2019,11,3,88.0
2019-11-02,2019,11,2,55.0
2019-11-03,2019,11,2,62.0
2019-11-04,2019,11,3,108.0
2019-11-05,2019,11,3,99.0
2019-11-06,2019,11,3,86.0
2019-11-07,2019,11,3,84.0
2019-11-08,2019,11,3,92.0
2019-11-09,2019,11,3,105.0
2019-11-10,2019,11,2,68.0
2019-11-11,2019,11,3,115.0
2019-11-12,2019,11,2,49.0
2019-11-13,2019,11,4,140.0
2019-11-14,2019,11,3,84.0
2019-11-15,2019,11,3,90.0
2019-11-16,2019,11,2,67.0
2019-11-17,2019,11,2,60.0
2019-11-18,2019,11,3,94.0
2019-11-19,2019,11,3,95.0
2019-11-20,2019,11,4,109.0
2019-11-21,2019,11,2,63.0
2019-11-22,2019,11,3,89.0
2019-11-23,2019,11,2,80.0
2019-11-24,2019,11,2,78.0
2019-11-25,2019,11,3,78.0
2019-11-26,2019,11,2,63.0
2019-11-27,2019,11,3,84.0
2019-11-28,2019,11,3,96.0
2019-11-29,2019,11,2,60.0
2019-11-30,2019,11,3,102.0
2019-12-01,2019,12,2,69.0
2019-12-02,2019,12,3,91.0
2019-12-03,2019,12,3,71.0
2019-12-04,2019,12,3,79.0
2019-12-05,2019,12,3,88.0
2019-12-06,2019,12,2,60.0
